name,id,tier,type,description,is_magic,bought,zh,learned_by,monsters_use,buffed_by,mana_cost,gives,pets_use,causes,m1,M2.max,M2.min,turns,ward,hp,strikes,crit,element,cures,cost
Wyvern Speed,105,5,Buff,"Move like a dragon, potentially improving dex or magic power.",1,,飛龍之速,"[{""id"":11,""name"":""Dragoon"",""level"":120,""specialization"":false}]","[397,399,454,179,212,193,149,408,211,322]",,60,"[""Mag ↑"",""Dex ↑""]","[54,36,57]",,,,,,,,,,,,
Wisp's Heal,106,5,Healing,Recovers 300 health points and cure common statuses.,1,,幽光療術,"[{""id"":12,""name"":""Druid"",""level"":120,""specialization"":false}]",,,50,,"[26,46]",,,,,,,,,,,"[""Burning"",""Frozen"",""Paralyzed"",""Poisoned"",""Blind"",""Stunned"",""Rot""]",
Wyvern's Wrath,107,5,Attack,Summons a wyvern to swiftly attack twice. May cause blight.,,,飛龍之怒,"[{""id"":12,""name"":""Druid"",""level"":125,""specialization"":false}]","[399,149,408,322]",,22,,,"[""Blight""]",1,0.5,1.1,1,,,2,0,,,
Blast II,108,4,Magic,Deals great non-elemental damage with the potential to hinder an opponent's attack power.,1,,爆破 II,"[{""id"":12,""name"":""Druid"",""level"":120,""specialization"":false}]","[276,341,170,205,273,250,143,254,296]",,80,,[35],"[""Att ↓"",""Mag ↓""]",1.5,1,1,1,,,1,0,,,
Sorrow,109,5,Magic,Deals damage according to the amount of beasts one has recently slain.,1,,嘆息之靈,"[{""id"":12,""name"":""Druid"",""level"":100,""specialization"":false}]",,,75,,,,1,3,3,1,,,1,0,,,
Spark III,110,3,Magic,Deals extra lightning damage to those weak against it.,1,,星火術 III,"[{""id"":28,""name"":""Scholar"",""level"":100,""specialization"":true}]","[452,199,350]",,60,,,"[""Paralyzed""]",1.3,1,1,1,,,1,0,Lightning,,
Tremor II,111,2,Magic,Deals moderate earthen damage.,1,,地顫術 II,"[{""id"":2,""name"":""Mage"",""level"":25,""specialization"":false},{""id"":6,""name"":""Archmage"",""level"":45,""specialization"":false},{""id"":17,""name"":""Legionnaire"",""level"":25,""specialization"":false},{""id"":14,""name"":""Warlock"",""level"":45,""specialization"":false}]","[388,389,45,54,60,303,49,123,56,96,231,233,343]",,40,,[80],,1.3,1,1,1,,,1,0,Earthen,,
Tremor III,112,3,Magic,Deals extra earthen damage to those weak against it.,1,,地顫術 III,"[{""id"":28,""name"":""Scholar"",""level"":100,""specialization"":true}]","[452,160,199,233,343]",,60,,,"[""Rot""]",1.3,1,1,1,,,1,0,Earthen,,
Imbue Lightning,113,3,Buff,Imbues your weapon with the power of lightning.,1,,雷電賦予,"[{""id"":28,""name"":""Scholar"",""level"":120,""specialization"":true}]",,,40,"[""Lightning Att""]",[32],,,,,,,,,,,,
Imbue Ice,114,3,Buff,Imbues your weapon with the power of water & ice.,1,,冰霜賦予,"[{""id"":28,""name"":""Scholar"",""level"":120,""specialization"":true}]",,,40,"[""Water Att""]",[31],,,,,,,,,,,,
Imbue Fire,115,3,Buff,Imbues your weapon with the power of fire.,1,,火炎賦予,"[{""id"":28,""name"":""Scholar"",""level"":120,""specialization"":true}]",,,40,"[""Fire Att""]",[30],,,,,,,,,,,,
Imbue Earth,116,3,Buff,Imbues your weapon with the power of earth.,1,,大地賦予,"[{""id"":28,""name"":""Scholar"",""level"":120,""specialization"":true}]",,,40,"[""Earth Att""]",[29],,,,,,,,,,,,
Frost III,117,3,Magic,Deals extra ice damage to those weak against it.,1,,冰凍術 III,"[{""id"":28,""name"":""Scholar"",""level"":100,""specialization"":true}]","[452,490,463,199,349]",,60,,,"[""Frozen""]",1.3,1,1,1,,,1,0,Water,,
Flame III,118,3,Magic,Deals extra fire damage to those weak against it.,1,,火焰術 III,"[{""id"":28,""name"":""Scholar"",""level"":100,""specialization"":true}]","[452,490,463,199,232,351]",,60,,,"[""Burning""]",1.3,1,1,1,,,1,0,Fire,,
Dispel,119,4,Healing,Cures most status ailments.,1,,痊癒,"[{""id"":25,""name"":""Cleric"",""level"":125,""specialization"":true}]","[217,390,374]",,75,,"[130,120,48,93,63,84]",,,,,,,,,,,"[""Burning"",""Bleeding"",""Frozen"",""Paralyzed"",""Poisoned"",""Blight"",""Blind"",""Asleep"",""Stunned"",""Petrified"",""Cursed"",""Rot""]",
Break Power,120,5,Attack,Deals damage proportional to the physical attack potential of an opponent,,,破壞力,"[{""id"":26,""name"":""Hunter"",""level"":125,""specialization"":true}]",[440],,40,,,,1,1,1,1,,,1,0.05,,,
Bright Star,121,3,Magic,"Summon a bright star, with a chance of blinding your opponent.",1,,閃耀之星,"[{""id"":24,""name"":""Stargazer"",""level"":100,""specialization"":true}]","[344,177,277,222,187,432,431,185,460,484]",,40,,,"[""Blind""]",1.3,1,1,1,,,1,0,,,
Shooting Star,122,5,Magic,"Summon a mighty star, with a chance of blinding or burning your opponent.",1,,流星,"[{""id"":24,""name"":""Stargazer"",""level"":120,""specialization"":true}]","[344,347,177,277,222,169,187,432,431,185,460,484]",,100,,"[106,114,105]","[""Burning"",""Blind""]",1.5,1,1,1,,,1,0,,,
Faith II,123,5,Magic,Deals great holy damage.,1,,信仰心 II,"[{""id"":25,""name"":""Cleric"",""level"":125,""specialization"":true}]","[449,448,400,150,145,402,279,446,447,185,406,335,401]",,140,,[48],,,,,,,,,,Holy,,
Lightning Wall,124,3,Buff,Grants protection against the power of lightning.,1,,雷電防壁,"[{""id"":27,""name"":""Guardian"",""level"":100,""specialization"":true},{""id"":54,""name"":""Cataphract"",""level"":200,""specialization"":true}]","[283,285]",,40,"[""Lightning Def""]","[55,42]",,,,,,,,,,,,
Earthen Wall,125,3,Buff,Grants protection against the power of earth.,1,,大地防壁,"[{""id"":27,""name"":""Guardian"",""level"":100,""specialization"":true},{""id"":54,""name"":""Cataphract"",""level"":200,""specialization"":true}]",,,40,"[""Earth Def""]","[55,42]",,,,,,,,,,,,
Fire Wall,126,3,Buff,Grants protection against the power of fire.,1,,烈火防壁,"[{""id"":27,""name"":""Guardian"",""level"":100,""specialization"":true},{""id"":54,""name"":""Cataphract"",""level"":200,""specialization"":true}]","[220,349]",,40,"[""Fire Def""]","[94,55,95,42]",,,,,,,,,,,,
Ice Wall,127,3,Buff,Grants protection against the power of water & ice.,1,,冰霜防壁,"[{""id"":27,""name"":""Guardian"",""level"":100,""specialization"":true},{""id"":54,""name"":""Cataphract"",""level"":200,""specialization"":true}]",,,40,"[""Water Def""]","[55,95,42]",,,,,,,,,,,,
Holy Light,128,4,Magic,Deals holy damage and recovers a percentage of damage dealt.,1,,聖光術,"[{""id"":25,""name"":""Cleric"",""level"":110,""specialization"":true}]","[161,390]",,50,,"[48,63,116,84]","[""Blind""]",1.2,1,1,1,,,1,0,Holy,,
Miracle,129,3,Healing,Recover 250 health points and temporarily boost defenses.,1,,奇蹟術,"[{""id"":25,""name"":""Cleric"",""level"":100,""specialization"":true}]",[161],,50,"[""T. Def ↑"",""T. Res ↑""]","[120,48,84]",,,,,,,,,,,,
Comet,130,3,Magic,"Summon a frozen comet, with the chance of freezing your opponent.",1,,彗星,"[{""id"":24,""name"":""Stargazer"",""level"":110,""specialization"":true}]","[344,177,277,222,169,187,432,431,186,460,484]",,40,,,"[""Frozen""]",1.3,1,1,1,,,1,0,,,
Supernova,131,5,Magic,"Unstable cosmic magic that can deal immense damage, but may damage or stun its caster.",1,,超新星爆發,"[{""id"":24,""name"":""Stargazer"",""level"":125,""specialization"":true}]",,,120,"[""Stunned""]",[114],,1.5,1,2,1,,,1,0,,,
Dragonslayer,132,5,Attack,Deals greater damage to Dragons,,,屠龍者,"[{""id"":26,""name"":""Hunter"",""level"":120,""specialization"":true},{""id"":74,""name"":""Ranger"",""level"":150,""specialization"":true}]",,,100,,,,1.75,1,1,1,,,1,0.05,Dragon,,
Full Bend,133,3,Attack,"Loose an arrow with great might, breaking an opponent's defense while causing critical damage.",,,全力猛擊,"[{""id"":26,""name"":""Hunter"",""level"":115,""specialization"":true}]",[285],,100,,[93],,1.75,1,1,1,,,1,0.05,,,
Arrowstorm,134,3,AoE Attack,Bombard your opponent with many arrows.,,,箭雨,"[{""id"":26,""name"":""Hunter"",""level"":105,""specialization"":true}]","[285,429]",,40,,"[78,91,111]",,1,0.25,0.75,1,,,5,0,,,
Dark Wall,135,4,Buff,Grants protection against dark magic.,1,,黑暗之壁,"[{""id"":27,""name"":""Guardian"",""level"":120,""specialization"":true},{""id"":54,""name"":""Cataphract"",""level"":200,""specialization"":true}]",,,50,"[""Dark Def""]",[42],,,,,,,,,,,,
Prism Wall,136,5,Buff,Grants protection against all 4 basic elements.,1,,四方防壁,"[{""id"":27,""name"":""Guardian"",""level"":125,""specialization"":true},{""id"":54,""name"":""Cataphract"",""level"":200,""specialization"":true}]","[157,459,288,455,178,202,222,269,293,440,187,485,404,460,315,461,335,316]",,120,"[""Fire Def"",""Water Def"",""Earth Def"",""Lightning Def""]","[92,104,72]",,,,,,,,,,,,
Holy Wall,137,4,Buff,Grants protection against holy magic.,1,,神聖防壁,"[{""id"":27,""name"":""Guardian"",""level"":120,""specialization"":true},{""id"":54,""name"":""Cataphract"",""level"":200,""specialization"":true}]","[251,217,345,264]",,50,"[""Holy Def""]",[42],,,,,,,,,,,,
Spellbreaker,138,5,Attack,Deals damage proportional to the magic potential of an opponent,,,法術破壞者,"[{""id"":27,""name"":""Guardian"",""level"":125,""specialization"":true}]","[344,202]",,40,,,,,,,1,,,,0.05,,,
Remedy,139,3,Healing,Cures basic status ailments.,1,,解救,"[{""id"":25,""name"":""Cleric"",""level"":115,""specialization"":true},{""id"":26,""name"":""Hunter"",""level"":105,""specialization"":true},{""id"":74,""name"":""Ranger"",""level"":150,""specialization"":true}]",,,50,,,,,,,,,,,,,"[""Burning"",""Frozen"",""Paralyzed"",""Poisoned"",""Blind"",""Stunned"",""Rot""]",
Berserk,140,4,Buff,"Greatly boosts total damage, but damages oneself over time.",1,,狂暴,"[{""id"":29,""name"":""Berserker"",""level"":100,""specialization"":true}]",[159],,70,"[""Dmg ↑""]","[60,101]",,,,,,,,,,,,
Berserk II,141,5,Buff,"Boosts all stats, but take considerable damage over time.",1,,狂暴 II,"[{""id"":29,""name"":""Berserker"",""level"":120,""specialization"":true}]",,,120,"[""All ↑""]",,,,,,,,,,,,,
Desperation,142,5,Attack,Deals damage proportional to damage one has taken,,,破釜沉舟,"[{""id"":29,""name"":""Berserker"",""level"":125,""specialization"":true}]",,,50,,,,1,2,2,1,,,1,0.05,,,
Mighty Charge,143,3,Attack,"Charge an opponent with all of your might, taking some damage in the process.",,,蠻力衝鋒,"[{""id"":29,""name"":""Berserker"",""level"":110,""specialization"":true}]","[202,231,470,473,367,184]",,60,,"[85,42,104]",,1.75,1,1,1,,-5,1,0.05,Physical,,
Eternal Light,145,5,Passive,"You forever emit a radiant light, raising your stats over time.",1,,永恆之光,"[{""id"":30,""name"":""Majestic"",""level"":0,""specialization"":false},{""id"":40,""name"":""Majistrate"",""level"":0,""specialization"":false}]",,,,,,,,,,,,,,,,,
Darkstrike II,146,5,Attack,Imbue your weapon with the occult and attack the enemy.,,,黑暗之擊 II,"[{""id"":30,""name"":""Majestic"",""level"":110,""specialization"":false}]","[277,251,244,263,217,237,279,187,460]",,80,,"[45,47,63]",,1.5,1,1,1,,,1,0.05,Dark,,
Earthstrike II,147,5,Attack,Attack the enemy with earthen power.,,,大地之擊 II,"[{""id"":30,""name"":""Majestic"",""level"":100,""specialization"":false},{""id"":37,""name"":""Gaia"",""level"":175,""specialization"":false}]","[225,282,231,233,271,343]",,75,,,"[""Rot""]",1.5,1,1,1,,,1,0.05,Earthen,,
Firestrike II,148,5,Attack,Light your weapon afire and attack the enemy,,,火焰之擊 II,"[{""id"":30,""name"":""Majestic"",""level"":100,""specialization"":false},{""id"":34,""name"":""Ifrit"",""level"":175,""specialization"":false}]","[301,277,455,255,481,232,271,351]",,75,,,"[""Burning""]",1.5,1,1,1,,,1,0.05,Fire,,
Holystrike II,149,5,Attack,Purify your weapon and attack the enemy,,,神聖之擊 II,"[{""id"":30,""name"":""Majestic"",""level"":110,""specialization"":false}]","[344,279]",,80,,[48],"[""Blind""]",1.5,1,1,1,,,1,0.05,Holy,,
Icestrike II,150,5,Attack,Freeze your weapon and attack the enemy,,,冰凍之擊 II,"[{""id"":30,""name"":""Majestic"",""level"":100,""specialization"":false},{""id"":36,""name"":""Leviathan"",""level"":175,""specialization"":false}]","[347,398,397,364,225,282,285,271]",,75,,[106],"[""Frozen""]",1.5,1,1,1,,,1,0.05,Water,,
Lightningstrike II,151,5,Attack,Electrify your weapon and attack the enemy,,,閃電之擊 II,"[{""id"":30,""name"":""Majestic"",""level"":100,""specialization"":false},{""id"":35,""name"":""Taranis"",""level"":175,""specialization"":false}]","[308,288,225,440,221,271,350]",,75,,,"[""Paralyzed""]",1.5,1,1,1,,,1,0.05,Lightning,,
Omnistrike II,152,4,Attack,Strike hard with the chance of weakening your opponent's attack or defenses.,,,融合之擊 II,"[{""id"":30,""name"":""Majestic"",""level"":125,""specialization"":false}]","[288,276,245,397,222,263,217,440,194]",,90,,,"[""Att ↓"",""Mag ↓"",""Def ↓"",""Res ↓""]",1.5,1,1,1,,,1,0.05,,,
Osmostrike II,153,5,Attack,"Attack, healing yourself in the process",,,滲透攻擊 II,"[{""id"":30,""name"":""Majestic"",""level"":125,""specialization"":false}]","[344,245,282,263,217,279,233,194,343,372]",,80,,,,1.5,1,1,1,,25,1,0.05,,,
Mystic Feather,154,6,Passive,Your chance to dodge attacks increases as damage is taken,1,,秘術羽毛,"[{""id"":32,""name"":""Grand Mystic"",""level"":0,""specialization"":false},{""id"":46,""name"":""Arcanic"",""level"":0,""specialization"":false},{""id"":37,""name"":""Gaia"",""level"":0,""specialization"":false},{""id"":36,""name"":""Leviathan"",""level"":0,""specialization"":false},{""id"":76,""name"":""Great Leviathan"",""level"":1,""specialization"":false},{""id"":69,""name"":""Noble Gaia"",""level"":1,""specialization"":false},{""id"":66,""name"":""Nyx"",""level"":1,""specialization"":false},{""id"":79,""name"":""Realmshifter"",""level"":225,""specialization"":false}]","[390,325,324,332,434,395,374]",,,,,,,,,,,,,,,,
Second Chance,155,6,Passive,50% chance to escape falling in battle,1,,第二次機會,"[{""id"":33,""name"":""Blademaster"",""level"":0,""specialization"":false},{""id"":47,""name"":""Atlas Vanguard"",""level"":0,""specialization"":false},{""id"":34,""name"":""Ifrit"",""level"":0,""specialization"":false},{""id"":35,""name"":""Taranis"",""level"":0,""specialization"":false},{""id"":68,""name"":""Grand Ifrit"",""level"":1,""specialization"":false},{""id"":71,""name"":""High Taranis"",""level"":1,""specialization"":false},{""id"":64,""name"":""Titanguard"",""level"":1,""specialization"":false},{""id"":81,""name"":""Deity"",""level"":225,""specialization"":false},{""id"":78,""name"":""Gilgamesh"",""level"":1,""specialization"":false}]","[343,349,350,351,435,331,333,323]",,,,,,,,,,,,,,,,
Mana Siphon,156,6,Passive,There is a high chance that a skill or spell cast may not consume mana.,1,,魔力虹吸,"[{""id"":31,""name"":""Battlemage"",""level"":0,""specialization"":false},{""id"":49,""name"":""Freyr"",""level"":1,""specialization"":false},{""id"":36,""name"":""Leviathan"",""level"":0,""specialization"":false},{""id"":48,""name"":""Nekromancer"",""level"":0,""specialization"":false},{""id"":67,""name"":""Bahamut"",""level"":1,""specialization"":false},{""id"":76,""name"":""Great Leviathan"",""level"":1,""specialization"":false},{""id"":65,""name"":""Omnimancer"",""level"":1,""specialization"":false},{""id"":80,""name"":""Beowulf"",""level"":225,""specialization"":false},{""id"":81,""name"":""Deity"",""level"":225,""specialization"":false}]",,,,,,,,,,,,,,,,,
Multi-flame,157,6,Magic,Deals moderate fire damage thrice.,1,,多重火焰,"[{""id"":31,""name"":""Battlemage"",""level"":125,""specialization"":false}]","[277,248,251,269,234,254,255,481,351]",,80,,[127],,1,0.7,1.2,1,,,3,0,Fire,,
Multi-frost,158,6,Magic,Deals moderate ice damage thrice.,1,,多重寒霜,"[{""id"":31,""name"":""Battlemage"",""level"":130,""specialization"":false}]","[283,257,373,269,234,254,370,349]",,80,,[92],"[""Frozen""]",1,0.7,1.2,1,,,3,0,Water,,
Multi-spark,159,6,Magic,Deals moderate lightning damage thrice.,1,,多重星火術,"[{""id"":31,""name"":""Battlemage"",""level"":135,""specialization"":false}]","[269,234,254,221,350]",,80,,,"[""Paralyzed""]",1,0.7,1.2,1,,,3,0,Lightning,,
Multi-tremor,160,6,Magic,Deals moderate earthen damage thrice.,1,,多重地顫,"[{""id"":31,""name"":""Battlemage"",""level"":140,""specialization"":false}]","[373,269,234,254,343,370,442]",,80,,[70],,1,0.7,1.2,1,,,3,0,Earthen,,
Horizontal Slash,161,6,Attack,"Attack from the side, cutting an opponent's defenses and giving Ward for 1 turn.",,,水平斬,"[{""id"":33,""name"":""Blademaster"",""level"":125,""specialization"":false}]","[234,232,351,314]",,40,,,"[""Def ↓""]",1.4,1,1,1,1,,1,0.05,,,
X Slash,162,6,Attack,"Swiftly attack twice, cutting an opponent's attack power and causing bleed.",,,X 斬擊,"[{""id"":33,""name"":""Blademaster"",""level"":130,""specialization"":false}]","[411,289,234,300,232,294,441,412,351,483,439]",,75,,,"[""Bleeding"",""Att ↓""]",1,0.75,1.25,1,,,2,0,,,
Riposte,163,6,Attack,A perfect counterattack.  Temporarily boosts your offense and defense and gives Ward for 1 turn.,,,回擊,"[{""id"":33,""name"":""Blademaster"",""level"":135,""specialization"":false}]","[411,222,289,234,300,279,220,441,349,412,439,336,326]",,75,"[""T. Att ↑"",""T. Def ↑""]",,,1.4,1,1,1,1,,1,0.05,,,
Swordplay,164,6,Attack,"Attack multiple times, changing the course of the battle.  It may cause multiple buffs and debuffs.",,,劍擊,"[{""id"":33,""name"":""Blademaster"",""level"":140,""specialization"":false}]","[289,234,300,279,480,220,232,294,441,349,351,483,439]",,90,"[""T. Att ↑"",""T. Def ↑"",""T. Mag ↑"",""T. Res ↑""]",,"[""T. Def ↓"",""T. Att ↓"",""T. Mag ↓"",""T. Res ↓""]",1,0.75,1.25,1,,,3,0,,,
Quick Attack,165,6,Attack,"Attack quickly, dealing more or less damage.  An opponent may be stunned or blinded by your strike.",,,快速攻擊,"[{""id"":32,""name"":""Grand Mystic"",""level"":125,""specialization"":false}]","[444,273,361,275,337,443,428]",,10,,"[98,75,118]",,,,,,,,,,,,
Arcana,166,4,Magic,Deals light arcane damage.,1,,秘儀術,"[{""id"":32,""name"":""Grand Mystic"",""level"":130,""specialization"":false}]","[164,138,249,273,279]",,10,,"[76,44]",,1.1,1,1,1,,,1,0,Arcane,,
Arcana II,167,5,Magic,Deals moderate arcane damage.,1,,秘儀術 II,"[{""id"":32,""name"":""Grand Mystic"",""level"":135,""specialization"":false}]","[347,164,138,249,273,279,318]",,50,,"[106,76,44]",,1.3,1,1,1,,,1,0,Arcane,,
Arcanus,168,6,Magic,"Unstable magic that can deal massive arcane damage, but may damage its caster.",1,,大秘儀術,"[{""id"":32,""name"":""Grand Mystic"",""level"":140,""specialization"":false}]",,,90,,"[44,118]",,1.5,1,2,1,,-5,1,0,Arcane,,
Sleep,169,3,Debuff,Causes an opponent to fall asleep,1,,睡眠,,"[6,70,191,489,377,259,241,242,226,219,260,284,453]",,,,"[15,39,74,126,50,69,45,123]","[""Asleep""]",,,,,,,,,,,
Petrify,170,5,Debuff,90 percent chance to petrify an opponent.,1,,石化術,,"[107,209,141,445,193,211,265,442,401]",,,,"[5,36,57]","[""Petrified""]",,,,,,,,,,,
Mindblast,171,8,Debuff,25 percent chance per stat to decrease an opponent's stat.,1,,心靈震爆,,"[27,44,48,127,98,290,407,166,113,284,181,457,414,335]",,,,"[102,49,37,72]","[""Att ↓"",""Mag ↓"",""Def ↓"",""Res ↓""]",,,,,,,,,,,
Annwn Fury,172,6,Multi-round Magic,"Release the arcane hidden powers of Annwn, the promised land.  Requires 3 turns in battle.",1,,安溫之怒,"[{""id"":32,""name"":""Grand Mystic"",""level"":150,""specialization"":false}]",,,200,,,,4.5,1,1,3,,,1,0,Arcane,,
Arcane Strikes,173,5,Multi-round Attack,Attacking thrice with unrelenting arcane energy.  Requires 2 turns in battle.,,,奧術連擊,"[{""id"":30,""name"":""Majestic"",""level"":125,""specialization"":false}]","[245,407,306,318]",,60,,[102],,1,0.75,1.25,2,,,3,0,Arcane,,
Coup de Grace,174,6,Multi-round Attack,Perform the perfect strike at the perfect time. This attack never misses but requires 3 turns in battle.,,,人道毀滅,"[{""id"":33,""name"":""Blademaster"",""level"":150,""specialization"":false}]","[444,411,276,430,425,289,300,292,470,480,441,443,423,412,469,439,326]",,100,,,,1,5,7,3,,,1,0,,,
Cyclone,175,4,Attack,"Attack your opponent while spinning, inflecting damage thrice.  Your opponent may become stunned.",,,旋風斬,"[{""id"":21,""name"":""Battle Master"",""level"":60,""specialization"":false}]",[266],,25,,,"[""Stunned""]",1,0.4,1,1,,,3,0,,,
Double Edge,176,4,Attack,"Attack without care, dealing critical damage to your opponent while taking self damage.",,,雙面刃,"[{""id"":21,""name"":""Battle Master"",""level"":55,""specialization"":false}]",,,25,,[130],,1.75,1,1,1,,-10,1,0,Physical,,
Dragon's Vengeance II,177,5,Multi-round Attack,Deals immense damage according to the amount of dragons one has recently conquered. Requires 2 turns in battle.,,,龍的復仇 II,"[{""id"":11,""name"":""Dragoon"",""level"":125,""specialization"":false}]",,,150,,,,1.5,4.5,4.5,2,,,1,0,,,
Sorrow II,178,5,Multi-round Magic,Deals immense damage according to the amount of beasts one has recently slain. Requires 2 turns in battle.,1,,嘆息之靈 II,"[{""id"":12,""name"":""Druid"",""level"":125,""specialization"":false}]",,,150,,,,1.5,4.5,4.5,2,,,1,0,,,
Sorrow III,179,6,Multi-round Magic,Deals damage multiple times according to the amount of beasts one has recently slain. Requires 3 turns in battle.,1,,嘆息之靈 III,"[{""id"":31,""name"":""Battlemage"",""level"":150,""specialization"":false},{""id"":38,""name"":""Archdruid"",""level"":155,""specialization"":false}]",,,200,,,,1.5,3,3,3,,,3,0,,,
Wail,180,5,Debuff,A paralyzing wail that has a chance to greatly reduce an opponent's resistance.,1,,吼叫,,"[129,276,430,141,287,335]",,100,,"[23,128,79,83]","[""Paralyzed"",""Res ↓↓""]",,,,,,,,,,,
Storm II,181,4,Magic,Deals great lightning damage,1,,風暴術 II,"[{""id"":35,""name"":""Taranis"",""level"":175,""specialization"":false}]","[276,169,150,145,254,181,457,221,350,484]",,120,,,,2,1,1,1,,,1,0,Lightning,,
Bloodlust,182,4,Buff,Greatly boosts attack power.,1,,嗜血,,"[464,63,74,85,196,261,89,98,396,118,133,124,393,357,183,456,473,491]",,1,"[""Att ↑↑""]","[75,79]",,,,,,,,,,,,
Quasar,183,5,Multi-round Magic,Starlord summons the power of the cosmos to destroy you. Chance to stun and blind. Requires 2 turns in battle.,1,,隕星術,,"[344,177,276,277,430]",,1,,,,,,,,,,,,,,
Nightmare II,184,4,Magic,Deals great dark damage.,1,,夢魘術 II,"[{""id"":48,""name"":""Nekromancer"",""level"":190,""specialization"":false}]","[176,164,251,400,217,250,284,402,279,187,186,406,460,335,401]",,140,,,,1.8,1,1,1,,,1,0,Dark,,
Focus,185,5,Buff,Boosts physical and magic power.,1,,專注,,"[39,64,43,72,67,363,86,96]",,1,,[16],,,,,,,,,,,,
Dragon's Vengeance,186,5,Attack,Deals damage according to the amount of dragons one has recently conquered.,,,龍的復仇,"[{""id"":11,""name"":""Dragoon"",""level"":100,""specialization"":false}]",,,75,,,,1,3,3,1,,,1,0,,,
Power of the Gods,187,8,Passive,Your stats increase as you hunt and defeat bosses in the world.,1,,眾神之力,"[{""id"":37,""name"":""Gaia"",""level"":0,""specialization"":false},{""id"":34,""name"":""Ifrit"",""level"":0,""specialization"":false},{""id"":36,""name"":""Leviathan"",""level"":0,""specialization"":false},{""id"":35,""name"":""Taranis"",""level"":0,""specialization"":false}]",,,,,,,,,,,,,,,,,
Steadfast,188,7,Passive,You are less likely to be afflicted with a status condition,1,,堅定不移,"[{""id"":40,""name"":""Majistrate"",""level"":0,""specialization"":false},{""id"":47,""name"":""Atlas Vanguard"",""level"":0,""specialization"":false},{""id"":37,""name"":""Gaia"",""level"":0,""specialization"":false},{""id"":69,""name"":""Noble Gaia"",""level"":1,""specialization"":false},{""id"":66,""name"":""Nyx"",""level"":1,""specialization"":false},{""id"":65,""name"":""Omnimancer"",""level"":1,""specialization"":false}]","[324,323]",,,,,,,,,,,,,,,,
Recharge,189,7,Passive,Landing a critical hit will restore HP and mana.,1,,充能 I,"[{""id"":39,""name"":""Dragon Knight"",""level"":0,""specialization"":false},{""id"":46,""name"":""Arcanic"",""level"":1,""specialization"":false},{""id"":49,""name"":""Freyr"",""level"":0,""specialization"":false},{""id"":35,""name"":""Taranis"",""level"":0,""specialization"":false},{""id"":67,""name"":""Bahamut"",""level"":1,""specialization"":false},{""id"":71,""name"":""High Taranis"",""level"":1,""specialization"":false},{""id"":80,""name"":""Beowulf"",""level"":225,""specialization"":false}]","[325,437,329,333]",,,,,,,,,,,,,,,,
Life Siphon,190,7,Passive,You often recover HP as you deal damage to an opponent,1,,生命虹吸,"[{""id"":38,""name"":""Archdruid"",""level"":0,""specialization"":false},{""id"":34,""name"":""Ifrit"",""level"":0,""specialization"":false},{""id"":48,""name"":""Nekromancer"",""level"":0,""specialization"":false},{""id"":68,""name"":""Grand Ifrit"",""level"":1,""specialization"":false},{""id"":66,""name"":""Nyx"",""level"":1,""specialization"":false},{""id"":81,""name"":""Deity"",""level"":225,""specialization"":false},{""id"":77,""name"":""Heretic"",""level"":1,""specialization"":false}]","[455,354,355,461,436,331,334]",,,,,,,,,,,,,,,,
Blast III,191,7,Multi-round Magic,Deals great non-elemental damage with the potential to hinder an opponent's attack power.  Requires 2 turns in battle.,1,,爆破 III,"[{""id"":38,""name"":""Archdruid"",""level"":150,""specialization"":false}]","[276,449,362,430,273,445,269,342,337,447,438,315,442]",,120,,[100],"[""Att ↓"",""Mag ↓""]",2,1,1,2,,,1,0,,,
Great Mimic's Mischief,192,7,Buff,Summon a great mimic. Beware.,1,,大寶箱怪的惡作劇,"[{""id"":38,""name"":""Archdruid"",""level"":160,""specialization"":false}]","[276,362,430]",,25,"[""Burning"",""Bleeding"",""Frozen"",""Paralyzed"",""Poisoned"",""Blight"",""T. Att ↑"",""T. Def ↑"",""T. Mag ↑"",""T. Res ↑"",""Def ↓↓"",""Res ↓↓""]",,"[""Burning"",""Bleeding"",""Frozen"",""Paralyzed"",""Poisoned"",""Blight"",""Att ↓"",""Mag ↓"",""Def ↓"",""Rot"",""Res ↓""]",,,,,,,,,,,
Wisp's Heal II,193,7,Healing,Recover 1000 health points and cure common statuses.,1,,幽光療術 II,"[{""id"":38,""name"":""Archdruid"",""level"":165,""specialization"":false}]",,,200,,[46],,,,,,,,,,,"[""Burning"",""Frozen"",""Paralyzed"",""Poisoned"",""Blind"",""Stunned"",""Rot""]",
Wyvern's Wrath II,194,7,Attack,Summons a wyvern to swiftly attack thrice.  May cause blight.,,,飛龍之怒 II,"[{""id"":38,""name"":""Archdruid"",""level"":170,""specialization"":false}]","[359,329,405]",,37,,,"[""Blight""]",1,0.5,1.1,1,,,3,0,,,
Cockatrice Breath,195,7,Magic,"Breath of a cockatrice, possibly inflicting blight, poison, or petrification.",1,,雞蛇吐息,"[{""id"":38,""name"":""Archdruid"",""level"":175,""specialization"":false}]","[420,430,408,421]",,200,,[57],"[""Poisoned"",""Blight"",""Petrified""]",1,1.75,2.25,1,,,1,0,Fire,,
