name,id,description,type,tier,boss,arena,image,equipped_by,name_zh,stats.attack.base,materials,dropped_by,cures,quests,gives,stats.magic.base,causes,stats.defense.base,stats.ward.base,element,view_distance,stats.dexterity.base,stats.mana.base,stats.crit.base,stats.resistance.base,stats.hp.base,prevents
Arena Token,347,A token permitting access to battle in the Arena.,Other,1,false,false,useables/arena_token.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",競技場代幣,---,---,"[{""id"":229,""name"":""Bandit Lord""},{""id"":3,""name"":""Fallen Mage""},{""id"":4,""name"":""Fallen Thief""},{""id"":5,""name"":""Fallen Warrior""},{""id"":20,""name"":""Goblin Lord""},{""id"":21,""name"":""Minotaur""},{""id"":137,""name"":""Arachne""},{""id"":40,""name"":""Demon Prince""},{""id"":39,""name"":""Draconian Lord""},{""id"":77,""name"":""Demon Knight""},{""id"":45,""name"":""Fallen Archmage""},{""id"":46,""name"":""Fallen Knight""},{""id"":47,""name"":""Fallen Rogue""},{""id"":48,""name"":""Fallen Witch""},{""id"":72,""name"":""Lizarr Lord""},{""id"":78,""name"":""Lord of Wolves""},{""id"":80,""name"":""Lost Pharaoh""},{""id"":81,""name"":""Camazotz""},{""id"":107,""name"":""Carman's Gargoyle""},{""id"":176,""name"":""Mimic King""},{""id"":85,""name"":""Orc Lord""},{""id"":86,""name"":""Troll""},{""id"":84,""name"":""Undead Golem""},{""id"":160,""name"":""Death Worm""},{""id"":108,""name"":""Great Gazer""},{""id"":109,""name"":""Great Jinn""},{""id"":110,""name"":""Sluagh""},{""id"":111,""name"":""Vampire Lord""},{""id"":192,""name"":""Behemoth""},{""id"":116,""name"":""Carman""},{""id"":117,""name"":""Cerberus""},{""id"":413,""name"":""Fallen Merlin""},{""id"":135,""name"":""Finfolk""},{""id"":118,""name"":""Ronin""},{""id"":362,""name"":""The Fool (2020)""},{""id"":430,""name"":""The Fool (2021)""},{""id"":119,""name"":""Ankou""},{""id"":170,""name"":""Colossus""},{""id"":142,""name"":""Fenrir""},{""id"":273,""name"":""Naggeneen""},{""id"":120,""name"":""Tiamat""},{""id"":193,""name"":""Cockatrice""},{""id"":149,""name"":""Fafnir""},{""id"":275,""name"":""Kerberos""},{""id"":150,""name"":""Ljosalfar Lord""},{""id"":440,""name"":""Arisen Cade""},{""id"":346,""name"":""Arisen Fenrir""},{""id"":337,""name"":""Arisen Naggeneen""},{""id"":187,""name"":""Balor King""},{""id"":432,""name"":""Ferocious Cerus""},{""id"":431,""name"":""Furious Cerus""},{""id"":194,""name"":""Nin-Kilim""},{""id"":428,""name"":""Arisen Kerberos""},{""id"":335,""name"":""Arisen Mimic King""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Deadwood Staff,348,A staff forged of long dead wood.,Weapon,5,false,false,weapons/draco_archistaff.png,"[{""id"":2,""name"":""Mage""}]",死木法杖,---,"[{""id"":283,""name"":""Wood""}]","[{""id"":159,""name"":""Deadwood""}]",---,---,---,105,---,---,---,---,---,---,---,---,---,---,---
Balor Sword,349,A commonly used sword of knights of Balor.,Weapon,5,false,false,weapons/bloodsword.png,"[{""id"":1,""name"":""Warrior""}]",巴羅爾之劍,105,---,"[{""id"":157,""name"":""Balor Guardian""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Arisen Balor Dagger,350,Dagger often carried as a sidearm by demon soldiers.  Has the chance of both burning and causing an opponent to bleed.,Weapon,7,true,false,weapons/hell_dagger.png,"[{""id"":3,""name"":""Thief""}]",重生巴羅爾匕首,165,"[{""id"":253,""name"":""Demonic Ore""}]","[{""id"":155,""name"":""Arisen Cerberus""}]",---,---,---,65,"[""Burning"",""Bleeding""]",---,---,Fire,---,20,---,---,---,---,---
Arcane Robe,351,The robe of one who practices rare magic. Slightly raises total mana.,Armor,6,false,false,armor/arcane_robe.png,"[{""id"":2,""name"":""Mage""}]",奧術長袍,---,"[{""id"":273,""name"":""Runestone""},{""id"":275,""name"":""Silver""}]","[{""id"":164,""name"":""Arcane Dragon""}]",---,---,---,---,---,45,---,---,---,---,30,---,60,---,---
Arcane Hat,352,The hat of one who practices rare magic. Slightly raises total mana.,Head,6,false,false,armor/arcane_hat.png,"[{""id"":2,""name"":""Mage""}]",奧術帽,---,"[{""id"":273,""name"":""Runestone""},{""id"":275,""name"":""Silver""}]","[{""id"":164,""name"":""Arcane Dragon""}]",---,---,---,---,---,45,---,---,---,---,20,---,55,---,---
Arcane Boots,353,The boots of one who practices rare magic. Slightly raises total mana.,Legs,6,false,false,armor/arcane_boots.png,"[{""id"":2,""name"":""Mage""}]",奧術長靴,---,"[{""id"":273,""name"":""Runestone""},{""id"":275,""name"":""Silver""}]","[{""id"":164,""name"":""Arcane Dragon""}]",---,---,---,---,---,45,---,---,---,---,20,---,55,---,---
Fallen Wanderer's Dagger,354,A sharp blade carried by wandering rogues. It has a great chance to cause an opponent to bleed.,Weapon,7,false,false,weapons/dagger.png,"[{""id"":3,""name"":""Thief""}]",墮落流浪漢的短刀,148,"[{""id"":266,""name"":""Mythril""}]","[{""id"":167,""name"":""Fallen Wanderer""}]",---,---,---,---,"[""Bleeding""]",---,---,---,---,---,---,---,---,---,---
Colossal Armor,355,Armor forged of the remains of a colossal being. Boasts strong physical defense at the sacrifice of magical defense.,Armor,7,false,false,armor/colossal_armor.png,"[{""id"":1,""name"":""Warrior""}]",巨像盔甲,---,"[{""id"":273,""name"":""Runestone""},{""id"":277,""name"":""Stone""}]","[{""id"":170,""name"":""Colossus""}]",---,---,---,---,---,180,---,---,---,---,---,---,-40,---,---
Colossal Helmet,356,Helmet forged of the remains of a colossal being. Boasts strong physical defense at the sacrifice of magical defense.,Head,7,false,false,armor/colossal_helm.png,"[{""id"":1,""name"":""Warrior""}]",巨像頭盔,---,"[{""id"":273,""name"":""Runestone""},{""id"":277,""name"":""Stone""}]","[{""id"":170,""name"":""Colossus""}]",---,---,---,---,---,180,---,---,---,---,---,---,-40,---,---
Colossal Leggings,357,Leg armor forged of the remains of a colossal being. Boasts strong physical defense at the sacrifice of magical defense.,Legs,7,false,false,armor/colossal_leggings.png,"[{""id"":1,""name"":""Warrior""}]",巨像腿甲,---,"[{""id"":273,""name"":""Runestone""},{""id"":277,""name"":""Stone""}]","[{""id"":170,""name"":""Colossus""}]",---,---,---,---,---,180,---,---,---,---,---,---,-40,---,---
Sandstorm,359,A rare scimitar of the sands. Slightly increases gold earned.,Weapon,5,true,false,weapons/sandstorm.png,"[{""id"":3,""name"":""Thief""}]",沙塵暴,110,"[{""id"":360,""name"":""Sandstone""}]","[{""id"":160,""name"":""Death Worm""}]",---,---,---,---,"[""Rot""]",---,---,Earthen,---,---,---,---,---,---,---
Sandstone,360,Material made of hardened sand. Useful for upgrading powerful weapons.,Material,4,true,false,materials/sandstone.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",沙之石,---,"[{""id"":428,""name"":""Dune Blade""},{""id"":359,""name"":""Sandstorm""}]","[{""id"":208,""name"":""Balor Worm""},{""id"":160,""name"":""Death Worm""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Sun Hat,362,Magic attire imbued with solar energy.,Head,5,true,false,armor/sun_hat.png,"[{""id"":2,""name"":""Mage""}]",遮陽帽,---,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,---,---,30,---,---,---,---,30,---,100,---,---
Solar Hood,363,Light armor imbued with celestial might.,Head,5,true,false,armor/solar_hood.png,"[{""id"":3,""name"":""Thief""}]",太陽兜帽,---,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,---,---,100,---,---,---,30,---,---,30,---,---
Solarite,364,Rare chunk of solarite. Useful in upgrading powerful equipment.,Material,4,true,false,materials/solarite.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",太陽靈石,---,"[{""id"":1379,""name"":""Arisen Askr Armor""},{""id"":1372,""name"":""Arisen Askr Boots""},{""id"":1373,""name"":""Arisen Askr Cowl""},{""id"":1374,""name"":""Arisen Askr Garb""},{""id"":1380,""name"":""Arisen Askr Helmet""},{""id"":1375,""name"":""Arisen Askr Leggings""},{""id"":1376,""name"":""Arisen Embla Hood""},{""id"":1377,""name"":""Arisen Embla Robe""},{""id"":1378,""name"":""Arisen Embla Shoes""},{""id"":1384,""name"":""Arisen Helhest""},{""id"":1192,""name"":""Arisen Surtr's Sword""},{""id"":1393,""name"":""Askr Garb""},{""id"":1394,""name"":""Askr Helmet""},{""id"":1392,""name"":""Embla Hood""},{""id"":1391,""name"":""Embla Shoes""},{""id"":1383,""name"":""Helhest""},{""id"":368,""name"":""Meteor Armor""},{""id"":370,""name"":""Meteor Hammer""},{""id"":369,""name"":""Meteor Helmet""},{""id"":371,""name"":""Meteor Leggings""},{""id"":401,""name"":""Solar Boots""},{""id"":373,""name"":""Solar Bow""},{""id"":372,""name"":""Solar Garb""},{""id"":363,""name"":""Solar Hood""},{""id"":365,""name"":""Sun Boots""},{""id"":362,""name"":""Sun Hat""},{""id"":366,""name"":""Sun Robe""},{""id"":367,""name"":""Sun Staff""},{""id"":1195,""name"":""Surtr's Sword""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Sun Boots,365,Magic attire imbued with solar energy.,Legs,5,true,false,armor/sun_boots.png,"[{""id"":2,""name"":""Mage""}]",陽光之靴,---,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,---,---,30,---,---,---,---,30,---,100,---,---
Sun Robe,366,Magic attire imbued with solar energy.,Armor,5,true,false,armor/sun_robe.png,"[{""id"":2,""name"":""Mage""}]",太陽法袍,---,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,---,---,30,---,---,---,---,30,---,100,---,---
Sun Staff,367,A staff imbued with celestial might.,Weapon,5,true,false,weapons/sun_staff.png,"[{""id"":2,""name"":""Mage""}]",太陽法杖,---,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,130,---,---,---,---,---,---,40,---,---,---,---
Meteor Armor,368,Exquisite armor forged of meteoric solarite.,Armor,5,true,false,armor/meteor_armor.png,"[{""id"":1,""name"":""Warrior""}]",隕星盔甲,10,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,---,---,130,---,---,---,---,---,---,---,40,---
Meteor Helmet,369,Exquisite armor forged of meteoric solarite.,Head,5,true,false,armor/meteor_helm.png,"[{""id"":1,""name"":""Warrior""}]",隕星頭盔,10,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,---,---,130,---,---,---,---,---,---,---,---,---
Meteor Hammer,370,An exquisite hammer forged of meteoric solarite.,Weapon,5,true,false,weapons/meteor_hammer.png,"[{""id"":1,""name"":""Warrior""}]",隕星錘,130,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,20,---,---,---,---,---,---,---,---,---,50,---
Meteor Leggings,371,Exquisite armor forged of meteoric solarite.,Legs,5,true,false,armor/meteor_leggings.png,"[{""id"":1,""name"":""Warrior""}]",隕星腿甲,10,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,---,---,130,---,---,---,---,---,---,---,---,---
Solar Garb,372,Light armor imbued with celestial might.,Armor,5,true,false,armor/solar_garb.png,"[{""id"":3,""name"":""Thief""}]",太陽皮甲,---,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,---,---,100,---,---,---,30,---,---,30,---,---
Solar Bow,373,A bow imbued with celestial might.,Weapon,5,true,false,weapons/solar_bow.png,"[{""id"":3,""name"":""Thief""}]",太陽弓,130,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,20,---,---,---,---,---,---,40,---,---,---,---
Lunar Dagger,374,An azure dagger crafted of hard titanium.,Weapon,6,true,false,weapons/lunar_dagger.png,"[{""id"":3,""name"":""Thief""}]",太陰匕首,150,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,---,---,---,---,25,10,---,---,---,---
Titan Axe,375,An azure axe crafted of hard titanium.,Weapon,6,true,false,weapons/titan_axe.png,"[{""id"":1,""name"":""Warrior""}]",泰坦巨斧,150,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,10,---,---,---,---,---,---,---,---,---
Moon Staff,376,An azure staff crafted of hard titanium.,Weapon,6,true,false,weapons/moon_staff.png,"[{""id"":2,""name"":""Mage""}]",月之杖,---,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,150,---,---,---,---,---,---,40,---,---,---,---
Lunar Garb,377,Azure light armor crafted of titanium.,Armor,6,true,false,armor/lunar_armor.png,"[{""id"":3,""name"":""Thief""}]",太陰皮甲,20,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,120,---,---,---,---,---,---,30,---,---
Titan Armor,378,Azure armor crafted of hard titanium.,Armor,6,true,false,armor/titan_armor.png,"[{""id"":1,""name"":""Warrior""}]",泰坦裝甲,---,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,150,---,---,---,---,---,---,---,50,---
Moon Robe,379,Azure attire adorned with titanium.,Armor,6,true,false,armor/moon_robe.png,"[{""id"":2,""name"":""Mage""}]",月亮長袍,---,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,60,---,---,---,---,40,---,90,---,---
Lunar Helmet,380,Azure light armor crafted of titanium.,Head,6,true,false,armor/lunar_helm.png,"[{""id"":3,""name"":""Thief""}]",太陰頭盔,30,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,120,---,---,---,---,---,---,30,---,---
Moon Hat,381,Azure attire adorned with titanium.,Head,6,true,false,armor/moon_hat.png,"[{""id"":2,""name"":""Mage""}]",月之帽,---,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,60,---,---,---,---,40,---,90,---,---
Moon Boots,382,Azure attire adorned with titanium.,Legs,6,true,false,armor/moon_boots.png,"[{""id"":2,""name"":""Mage""}]",月之長靴,---,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,60,---,---,---,---,40,---,90,---,---
Lunar Boots,383,Azure light armor crafted of titanium.,Legs,6,true,false,armor/lunar_boots.png,"[{""id"":3,""name"":""Thief""}]",太陰長靴,20,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,130,---,---,---,---,---,---,20,---,---
Titan Leggings,384,Azure armor crafted of hard titanium.,Legs,6,true,false,armor/titan_leggings.png,"[{""id"":1,""name"":""Warrior""}]",泰坦腿甲,---,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,150,---,---,---,---,---,---,---,50,---
Blight Pendant,385,A pendant often worn by dragoons. It protects its wearer from blight.,Accessory,6,false,true,acc/blight_pendant.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",枯萎吊飾,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"[""Blight""]"
Steady Pendant,386,A sturdy pendant often worn by centurions. It protects its wearer from being stunned.,Accessory,4,false,true,acc/steady_pendant.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",堅毅吊飾,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"[""Stunned""]"
Waking Pendant,387,A magical pendant utilized by studious scholars. It prevents its wearer from falling asleep.,Accessory,4,false,true,acc/waking_pendant.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",清醒吊飾,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"[""Asleep""]"
Titan Helmet,388,Azure armor crafted of hard titanium.,Head,6,true,false,armor/titan_helmet.png,"[{""id"":1,""name"":""Warrior""}]",泰坦頭盔,---,"[{""id"":390,""name"":""Titanium""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,150,---,---,---,---,---,---,---,50,---
Antidote Pendant,389,A pendant utilized by hunters. It protects its wearer from poison.,Accessory,3,false,true,acc/antidote_pendant.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",解毒吊飾,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"[""Poisoned""]"
Titanium,390,A large chunk of hardened titanium. Useful in upgrading powerful equipment.,Material,4,true,false,materials/titanium.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",泰坦原石,---,"[{""id"":1305,""name"":""Fey Neman Cuirass""},{""id"":1290,""name"":""Fey Neman Helmet""},{""id"":383,""name"":""Lunar Boots""},{""id"":374,""name"":""Lunar Dagger""},{""id"":377,""name"":""Lunar Garb""},{""id"":380,""name"":""Lunar Helmet""},{""id"":382,""name"":""Moon Boots""},{""id"":381,""name"":""Moon Hat""},{""id"":379,""name"":""Moon Robe""},{""id"":376,""name"":""Moon Staff""},{""id"":1284,""name"":""Neman Cuirass""},{""id"":1282,""name"":""Neman Helmet""},{""id"":1279,""name"":""Neman's Protection""},{""id"":1283,""name"":""Neman Warsword""},{""id"":378,""name"":""Titan Armor""},{""id"":375,""name"":""Titan Axe""},{""id"":388,""name"":""Titan Helmet""},{""id"":384,""name"":""Titan Leggings""}]","[{""id"":178,""name"":""Titan""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Golden Crystal,391,Golden crystal of the sun. Increase physical prowess at the expense of magical ability.,Accessory,9,false,false,acc/golden_crystal.png,---,金水晶,50,---,"[{""id"":185,""name"":""Skoll""}]",---,---,---,-50,---,50,---,---,---,---,---,---,-50,---,---
Azure Crystal,392,Azure crystal of the night. Increases magical ability at the expense of physical prowess.,Accessory,9,false,false,acc/azure_crystal.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",蔚藍水晶,-50,---,"[{""id"":186,""name"":""Hati""}]",---,---,---,50,---,-50,---,---,---,---,---,---,50,---,---
Balor Katana,393,Katana wielded by Balor rogues. It has a high chance of causing an opponent to bleed.,Weapon,9,false,false,weapons/katana.png,"[{""id"":3,""name"":""Thief""}]",巴羅爾武士刀,205,"[{""id"":266,""name"":""Mythril""}]","[{""id"":182,""name"":""Balor Assassin""}]",---,---,---,---,"[""Bleeding""]",-40,---,---,---,10,---,1,---,---,---
Balor Archistaff,394,Staff wielded by Balor mages. It increases mana at the expense of health.,Weapon,9,false,false,weapons/balor_staff.png,"[{""id"":2,""name"":""Mage""}]",巴羅爾權杖,---,"[{""id"":273,""name"":""Runestone""}]","[{""id"":181,""name"":""Balor Warlock""}]",---,---,---,205,---,---,---,---,---,---,100,---,---,-100,---
Balor Armor,395,Heavy armor typically worn by Balor warriors.,Armor,9,false,false,armor/pale_armor.png,"[{""id"":1,""name"":""Warrior""}]",巴羅爾盔甲,---,"[{""id"":249,""name"":""Bone""},{""id"":266,""name"":""Mythril""}]","[{""id"":183,""name"":""Balor Marauder""}]",---,---,---,---,---,205,---,---,---,---,---,---,20,---,---
Balor Robe,396,"A dark, dusty robe typically worn by Balor mages.",Armor,9,false,false,armor/ashen_robe.png,"[{""id"":2,""name"":""Mage""}]",巴羅爾法袍,---,"[{""id"":249,""name"":""Bone""},{""id"":275,""name"":""Silver""}]","[{""id"":181,""name"":""Balor Warlock""}]",---,---,---,---,---,20,---,---,---,---,---,---,205,---,---
Balor Helmet,397,A heavy helmet typically worn by Balor warriors.,Head,9,false,false,armor/pale_helm.png,"[{""id"":1,""name"":""Warrior""}]",巴羅爾頭盔,---,"[{""id"":249,""name"":""Bone""},{""id"":266,""name"":""Mythril""}]","[{""id"":183,""name"":""Balor Marauder""}]",---,---,---,---,---,205,---,---,---,---,---,---,19,---,---
Balor Crown,398,The fabled crown of King Balor.,Head,9,true,false,armor/crown.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",巴羅爾王冠,---,"[{""id"":400,""name"":""Lesser Balorite""}]","[{""id"":187,""name"":""Balor King""}]",---,"[{""id"":66,""name"":""A Symbol of Royalty""}]",---,---,---,200,---,---,---,---,---,---,200,---,---
Balor Leggings,399,Heavy leggings typically worn by Balor warriors,Legs,9,false,false,armor/pale_leggings.png,"[{""id"":1,""name"":""Warrior""}]",巴羅爾腿甲,---,"[{""id"":249,""name"":""Bone""},{""id"":266,""name"":""Mythril""}]","[{""id"":183,""name"":""Balor Marauder""}]",---,---,---,---,---,205,---,---,---,---,---,---,18,---,---
Lesser Balorite,400,A golden material useful in upgrading powerful equipment.,Material,4,false,false,materials/balorite.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",低階巴羅爾石,---,"[{""id"":398,""name"":""Balor Crown""},{""id"":818,""name"":""Bident""}]","[{""id"":187,""name"":""Balor King""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Solar Boots,401,Light armor imbued with celestial might.,Legs,5,true,false,armor/solar_boots.png,"[{""id"":3,""name"":""Thief""}]",太陽靴,---,"[{""id"":364,""name"":""Solarite""}]","[{""id"":177,""name"":""Starlord""}]",---,---,---,---,---,100,---,---,---,30,---,---,30,---,---
Oxen Axe,402,An axe and shield combination of the mighty Behemoth. Attacks with its might may decrease an opponent's defense temporarily.,Weapon,6,true,false,weapons/oxen_axe.png,"[{""id"":1,""name"":""Warrior""}]",牛斧,140,"[{""id"":261,""name"":""Hardened Steel""}]","[{""id"":192,""name"":""Behemoth""}]",---,---,---,---,"[""T. Def ↓""]",22,18,---,---,---,---,---,---,---,---
Venin,403,Putrid spear of the Rat King.  It may cause poison while slightly boosting experience and orns earned.,Weapon,9,true,false,weapons/poison_spear.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",鼠毒棒,205,"[{""id"":261,""name"":""Hardened Steel""},{""id"":281,""name"":""Witchstone""}]","[{""id"":194,""name"":""Nin-Kilim""}]",---,---,---,---,"[""Poisoned""]",---,---,---,---,---,---,---,---,---,---
Great Orcish Axe,404,Blunt axe of an great Orcish warrior.,Weapon,7,false,false,weapons/axe.png,"[{""id"":1,""name"":""Warrior""}]",強大的半獸人之斧,152,"[{""id"":249,""name"":""Bone""},{""id"":276,""name"":""Steel""}]","[{""id"":124,""name"":""Great Orc""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Great Orcish Blade,405,Blunt blade of an great Orcish warrior.,Weapon,7,false,false,weapons/falchion.png,"[{""id"":3,""name"":""Thief""}]",巨魔大劍,152,"[{""id"":249,""name"":""Bone""},{""id"":276,""name"":""Steel""}]","[{""id"":125,""name"":""Great Orc Marauder""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Twilight Blade,406,Blade of the wandering twilight knights. Its thick obsidian blade is infused with the power of darkness and may cause an opponent to fall asleep.,Weapon,3,true,false,weapons/twilight_blade.png,"[{""id"":1,""name"":""Warrior""}]",暮光之刃,88,"[{""id"":253,""name"":""Demonic Ore""}]","[{""id"":188,""name"":""Twilight Knight""}]",---,---,---,---,"[""Asleep""]",---,---,Dark,---,---,---,---,---,---,---
Balorite,407,A golden material useful in upgrading powerful equipment.,Material,4,true,false,materials/balorite.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",巴爾羅靈石,---,"[{""id"":519,""name"":""Ashen Boots""},{""id"":471,""name"":""Ashen Hat""},{""id"":522,""name"":""Ashen Robe""},{""id"":500,""name"":""Ashen Staff""},{""id"":1267,""name"":""Badb Boots""},{""id"":1272,""name"":""Badb Garb""},{""id"":1268,""name"":""Badb Veil""},{""id"":1269,""name"":""Badb Warbow""},{""id"":1287,""name"":""Fey Badb Warbow""},{""id"":516,""name"":""Pale Armor""},{""id"":474,""name"":""Paleblade""},{""id"":520,""name"":""Pale Helmet""},{""id"":483,""name"":""Pale Leggings""},{""id"":438,""name"":""Shadow Boots""},{""id"":502,""name"":""Shadow Garb""},{""id"":439,""name"":""Shadow Hood""},{""id"":452,""name"":""Shadow Katana""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Stone Pendant,408,A pendant often worn against the mighty cockatrice. It protects its wearer from petrification.,Accessory,6,true,false,acc/stone_pendant.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",石頭吊飾,---,---,"[{""id"":193,""name"":""Cockatrice""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,"[""Petrified""]"
High Draconian Robe,409,A robe of a Draconian mage.,Armor,6,false,false,armor/draco_robe.png,"[{""id"":2,""name"":""Mage""}]",高等德肯尼亞族長袍,---,"[{""id"":254,""name"":""Draconite""}]","[{""id"":199,""name"":""High Draconian Mage""}]",---,---,---,---,---,82,---,---,---,---,---,---,20,---,---
High Fomorian Hood,410,A hood worn by Fomorian mages.,Head,7,false,false,armor/fomorian_hood.png,"[{""id"":2,""name"":""Mage""}]",高級弗摩爾族兜帽,---,"[{""id"":249,""name"":""Bone""},{""id"":275,""name"":""Silver""}]","[{""id"":205,""name"":""High Fomorian Mage""}]",---,---,---,---,---,15,---,---,---,---,---,---,155,---,---
High Fomorian Leggings,411,Leg armor worn by Fomorian warriors.,Legs,7,false,false,armor/fomorian_leggings.png,"[{""id"":1,""name"":""Warrior""}]",高級弗摩爾族腿甲,---,"[{""id"":249,""name"":""Bone""},{""id"":275,""name"":""Silver""}]","[{""id"":204,""name"":""High Fomorian""}]",---,---,---,---,---,155,---,---,---,---,---,---,15,---,---
High Fomorian Armor,412,Heavy armor worn by Fomorian warriors.,Armor,7,false,false,armor/fomorian_armor.png,"[{""id"":1,""name"":""Warrior""}]",高級弗摩爾族盔甲,---,"[{""id"":249,""name"":""Bone""},{""id"":275,""name"":""Silver""}]","[{""id"":204,""name"":""High Fomorian""}]",---,---,---,---,---,155,---,---,---,---,---,---,15,---,---
High Fomorian Robe,413,A robe worn by Fomorian mages.,Armor,7,false,false,armor/fomorian_robe.png,"[{""id"":2,""name"":""Mage""}]",高級弗摩爾族長袍,---,"[{""id"":249,""name"":""Bone""},{""id"":275,""name"":""Silver""}]","[{""id"":205,""name"":""High Fomorian Mage""}]",---,---,---,---,---,40,---,---,---,---,---,---,155,---,---
High Draconian Garb,414,Body coverings of a Draconian rogue.,Armor,6,false,false,armor/draco_garb.png,"[{""id"":3,""name"":""Thief""}]",高等德肯尼亞族皮甲,---,"[{""id"":254,""name"":""Draconite""}]","[{""id"":121,""name"":""High Draconian Mystic""}]",---,---,---,---,---,90,---,---,---,15,---,---,15,---,---
High Draconian Armor,415,Armor of a Draconian warrior.,Armor,6,false,false,armor/draco_armor.png,"[{""id"":1,""name"":""Warrior""}]",高等德肯尼亞族盔甲,---,"[{""id"":254,""name"":""Draconite""}]","[{""id"":198,""name"":""High Draconian""}]",---,---,---,---,---,128,---,---,---,---,---,---,---,---,---
